squeue -u zuimran
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          18119106      GPUQ zc-c5dda  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119105      GPUQ zc-8a3c3  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119104      GPUQ zc-d3495  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119103      GPUQ zc-1c782  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119102      GPUQ zc-bb229  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119101      GPUQ zc-eaa36  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119100      GPUQ zc-d7d93  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119099      GPUQ zc-47bdb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119098      GPUQ zc-6fa13  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119097      GPUQ zc-0ee46  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119096      GPUQ zc-f0fac  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119095      GPUQ zc-f7af4  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119094      GPUQ zc-1232a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119093      GPUQ zc-d23b4  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119092      GPUQ zc-03f01  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119091      GPUQ zc-29f7c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119090      GPUQ zc-c7dc0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119089      GPUQ zc-bc273  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119088      GPUQ zc-c8e9b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119087      GPUQ zc-30fb0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119086      GPUQ zc-68708  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119085      GPUQ zc-6ddb0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119084      GPUQ zc-c10f5  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119083      GPUQ zc-66149  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119082      GPUQ zc-52cf5  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119081      GPUQ zc-f3cdc  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119080      GPUQ zc-0a9aa  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119079      GPUQ zc-60093  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119078      GPUQ zc-fd16c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119077      GPUQ zc-1f020  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119076      GPUQ zc-18916  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119075      GPUQ zc-79f9b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119074      GPUQ zc-0ba94  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119073      GPUQ zc-ca29d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119072      GPUQ zc-9b8fa  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119071      GPUQ zc-124a1  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119070      GPUQ zc-55226  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119069      GPUQ zc-b03ca  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119068      GPUQ zc-226b3  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119067      GPUQ zc-56710  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119066      GPUQ zc-3c53a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119065      GPUQ zc-59fde  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119064      GPUQ zc-c83eb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119063      GPUQ zc-a2edb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119062      GPUQ zc-936ad  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119061      GPUQ zc-0cc1e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119060      GPUQ zc-ef1a5  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119059      GPUQ zc-00e5a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119058      GPUQ zc-ae453  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119057      GPUQ zc-572e6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119056      GPUQ zc-0cecf  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119055      GPUQ zc-91d9f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119054      GPUQ zc-fe06c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119053      GPUQ zc-9194c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119052      GPUQ zc-8ab9b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119051      GPUQ zc-0bbf3  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119050      GPUQ zc-1492e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119049      GPUQ zc-aba33  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119048      GPUQ zc-00e2e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119047      GPUQ zc-a161e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119046      GPUQ zc-ba5ea  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119045      GPUQ zc-9082b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119044      GPUQ zc-99ced  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119043      GPUQ zc-509ea  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119042      GPUQ zc-a805f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119041      GPUQ zc-22da0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119040      GPUQ zc-6a0bf  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119039      GPUQ zc-84a0e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119038      GPUQ zc-6c629  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119037      GPUQ zc-e5080  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119036      GPUQ zc-64f04  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119035      GPUQ zc-caf73  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119034      GPUQ zc-139d5  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119033      GPUQ zc-376d8  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119032      GPUQ zc-81473  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119031      GPUQ zc-b2e95  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119030      GPUQ zc-86633  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119029      GPUQ zc-ae9bf  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119028      GPUQ zc-1fdcd  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119027      GPUQ zc-6fde9  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119026      GPUQ zc-f1db9  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119025      GPUQ zc-c88c6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119024      GPUQ zc-f8bf7  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119023      GPUQ zc-098b9  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119022      GPUQ zc-3b6c2  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119021      GPUQ zc-bf464  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119020      GPUQ zc-9a198  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119019      GPUQ zc-ebb40  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119018      GPUQ zc-7611e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119017      GPUQ zc-26ca7  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119016      GPUQ zc-339a0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119015      GPUQ zc-215ad  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119014      GPUQ zc-03eec  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119013      GPUQ zc-8190d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119012      GPUQ zc-db4d0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119011      GPUQ zc-f2449  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119010      GPUQ zc-498ed  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119009      GPUQ zc-8446f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119008      GPUQ zc-5924e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119007      GPUQ zc-e7e0b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119006      GPUQ zc-45001  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119005      GPUQ zc-2d5d6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119004      GPUQ zc-01fa9  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119003      GPUQ zc-0abda  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119002      GPUQ zc-1ccd6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119001      GPUQ zc-8c9d3  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119000      GPUQ zc-31f4a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118999      GPUQ zc-93086  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118998      GPUQ zc-5f979  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118997      GPUQ zc-da645  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118996      GPUQ zc-8ebed  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118995      GPUQ zc-7a01e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118994      GPUQ zc-a88e4  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118993      GPUQ zc-ebb4a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118992      GPUQ zc-0d25a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118991      GPUQ zc-d41e8  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118990      GPUQ zc-9a3a5  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118989      GPUQ zc-c246d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118988      GPUQ zc-60ad7  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118987      GPUQ zc-d84ea  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118986      GPUQ zc-1b8e0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118985      GPUQ zc-5981c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118984      GPUQ zc-c0c7b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118983      GPUQ zc-94ebb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118982      GPUQ zc-fb1d8  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118981      GPUQ zc-8ab50  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118980      GPUQ zc-d422b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118979      GPUQ zc-5be3b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118978      GPUQ zc-25c3c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118977      GPUQ zc-1bdca  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118976      GPUQ zc-81993  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118975      GPUQ zc-218fb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118974      GPUQ zc-54448  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118973      GPUQ zc-3d1e9  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118972      GPUQ zc-321c7  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118971      GPUQ zc-67f89  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118970      GPUQ zc-15811  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118969      GPUQ zc-33dc9  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118968      GPUQ zc-fe109  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118967      GPUQ zc-cf02c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118966      GPUQ zc-7190c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118965      GPUQ zc-dbd24  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118964      GPUQ zc-384eb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
